Ticker,Last_Update,Earliest_Record,Name
ARS,,,Argentina Peso
SVC,,,El Salvador Colon
EEK,,,Estonia Kroon
EUR,,,Euro Member Countries
PLN,,,Poland Zloty
QAR,,,Qatar Riyal
RON,,,Romania New Leu
TRL,,,Turkey Lira
TVD,,,Tuvalu Dollar
UAH,,,Ukraine Hryvna
GBP,,,United Kingdom Pound
USD,,,United States Dollar
