Ticker,Last_Update,Earliest_Record,Name
SHV,,,
TLT,,,
IEF,,,
SHY,,,
GOVT,,,
BIL,,,
IEI,,,
VGSH,,,
SCHO,,,
SCHR,,,
VGIT,,,
GBIL,,,
SPTL,,,
SPTS,,,
VGLT,,,
EDV,,,
SPTI,,,
TLH,,,
CLTL,,,
TBT,,,
JAGG,,,
ZROZ,,,
TMF,,,
TBF,,,
PLW,,,
TMV,,,
PST,,,
UBT,,,
UST,,,
TTT,,,
TBX,,,
SCHQ,,,
DTYS,,,
TYD,,,
TYO,,,
TAPR,,,
RISE,,,
DTYL,,,
DTUL,,,
DFVL,,,
DLBS,,,
FLAT,,,
STPP,,,
DFVS,,,
DTUS,,,
TYBS,,,
DLBL,,,
