Date,Open,High,Low,Close
26-03-19,94.080002,94.629997,93.699997,94.099998
27-03-19,94.050003,94.57,93.669998,94.150002
28-03-19,94.419998,94.900002,93.25,93.940002
29-03-19,94.43,94.459999,93.669998,94.18
01-04-19,94.519997,95.550003,94.459999,95.089996
02-04-19,95.360001,95.43,94.75,94.809998
03-04-19,95.25,95.870003,94.459999,95.639999
04-04-19,95.43,96.260002,95.43,96.07
05-04-19,96.440002,97.120003,95.989998,96.309998
08-04-19,95.669998,96.260002,94.199997,94.870003
09-04-19,94.410004,94.900002,94.080002,94.360001
10-04-19,94.580002,95.050003,94.25,95
11-04-19,95.25,95.900002,95.120003,95.809998
12-04-19,96.309998,97.099998,96.190002,97.010002
15-04-19,97.019997,97.18,96.209999,96.400002
16-04-19,96.75,98.239998,96.599998,98.190002
17-04-19,98.330002,98.5,97.190002,97.43
18-04-19,97.339996,98.279999,96.699997,96.720001
22-04-19,96.239998,97.120003,96.029999,97.07
23-04-19,96.75,97.610001,96.529999,97.290001
24-04-19,97.080002,97.440002,96.379997,96.410004
25-04-19,96.040001,96.870003,95.519997,96.470001
26-04-19,96.559998,97.529999,96.370003,97.410004
29-04-19,97.540001,98.260002,97.540001,97.760002
30-04-19,97.900002,99.139999,97.739998,99.059998
01-05-19,99.050003,99.849998,98,98
02-05-19,98.980003,100,97.18,98.290001
03-05-19,98.68,99,97.139999,98.580002
06-05-19,97.510002,98.18,96.900002,97.68
07-05-19,97.25,97.800003,95.260002,95.660004
08-05-19,95.25,96.199997,94.82,95.32
09-05-19,94.68,95.089996,93.980003,94.389999
10-05-19,94.010002,96.510002,93.949997,96.379997
13-05-19,95.220001,95.339996,93.540001,94.080002
14-05-19,93.949997,95.730003,93.93,94.739998
15-05-19,94.43,96.089996,94.43,95.489998
16-05-19,95.599998,96.739998,95.5,95.870003
17-05-19,95.019997,96.279999,95.019997,95.639999
20-05-19,95.529999,96.480003,95.440002,95.940002
21-05-19,96.400002,97,95.809998,96.910004
22-05-19,96.690002,97.349998,96.089996,97.089996
23-05-19,96.489998,96.5,95.459999,95.980003
24-05-19,96.230003,96.5,95.769997,96.370003
28-05-19,96.32,96.889999,95.019997,95.089996
29-05-19,95.900002,96.379997,95.260002,96.230003
30-05-19,96.080002,96.400002,95.43,95.889999
31-05-19,94.93,95.739998,94.82,95.510002
03-06-19,95.330002,96.959999,95.269997,96.769997
04-06-19,97.599998,98.059998,97.139999,97.879997
05-06-19,97.910004,99.5,97.809998,99.330002
06-06-19,99.419998,99.669998,98.949997,99.5
07-06-19,99.580002,101.120003,99.529999,100.720001
