Ticker,Last_Update,Earliest_Record
CL,,
QM,,
NG,,
YG,,
SI,,
YI,,
HG,,
PL,,
CC,,
TT,,
DY,,
DC,,
QJ,,
SB,,
C,,
ZC,,
XC,,
YC,,
O,,
ZO,,
RR,,
W,,
S,,
FC,,
GF,,
HE,,
LH,,
LC,,
LE,,
